1,0.64,0.66,0.62,0.64,0.63,0.17,0.13,0.15,0.16,0.13
0.64,1,0.65,0.62,0.66,0.67,0.12,0.17,0.13,0.15,0.17
0.66,0.65,1,0.65,0.62,0.63,0.15,0.15,0.12,0.15,0.16
0.62,0.62,0.65,1,0.64,0.66,0.13,0.17,0.14,0.16,0.15
0.64,0.66,0.62,0.64,1,0.65,0.12,0.16,0.15,0.17,0.15
0.63,0.67,0.63,0.66,0.65,1,0.15,0.18,0.12,0.15,0.11
0.17,0.12,0.15,0.13,0.12,0.15,1,0.55,0.57,0.51,0.6
0.13,0.17,0.15,0.17,0.16,0.18,0.55,1,0.52,0.57,0.53
0.15,0.13,0.12,0.14,0.15,0.12,0.57,0.52,1,0.59,0.55
0.16,0.15,0.15,0.16,0.17,0.15,0.51,0.57,0.59,1,0.58
0.13,0.17,0.16,0.15,0.15,0.11,0.6,0.53,0.55,0.58,1
